2012-05-02 15:22:32.6311|INFO|FinalVersion.SurfaceWindow1|; 1335972151088 ; afs2 ; A ; 1 ; 1 ; 1 ; 1 ; 1335972152631
2012-05-02 15:22:35.6233|INFO|FinalVersion.SurfaceWindow1|; 1335972154185 ; afs2 ; A ; 1 ; 1 ; 2 ; 1 ; 1335972155623
2012-05-02 15:22:38.3204|INFO|FinalVersion.SurfaceWindow1|; 1335972154185 ; afs2 ; A ; 2 ; 1 ; 1 ; 0 ; 1335972158320
2012-05-02 15:22:39.8075|INFO|FinalVersion.SurfaceWindow1|; 1335972154185 ; afs2 ; A ; 2 ; 1 ; 0 ; 0 ; 1335972159807
2012-05-02 15:22:41.1826|INFO|FinalVersion.SurfaceWindow1|; 1335972154185 ; afs2 ; A ; 2 ; 1 ; 2 ; 0 ; 1335972161182
2012-05-02 15:23:19.8218|INFO|FinalVersion.SurfaceWindow1|; 1335972191581 ; afs2 ; A ; 0 ; 3 ; 1 ; 3 ; 1335972199821
2012-05-02 15:23:30.3804|INFO|FinalVersion.SurfaceWindow1|; 1335972202724 ; afs2 ; A ; 0 ; 3 ; 0 ; 1 ; 1335972210380
2012-05-02 15:24:01.9082|INFO|FinalVersion.SurfaceWindow1|; 1335972214501 ; afs2 ; A ; 0 ; 3 ; 2 ; 43 ; 1335972241908
2012-05-02 15:24:11.5837|INFO|FinalVersion.SurfaceWindow1|; 1335972244344 ; afs2 ; A ; 0 ; 3 ; 0 ; 1 ; 1335972251583
2012-05-02 15:24:19.7662|INFO|FinalVersion.SurfaceWindow1|; 1335972256405 ; afs2 ; A ; 0 ; 3 ; 1 ; 0 ; 1335972259766
2012-05-02 15:24:57.9494|INFO|FinalVersion.SurfaceWindow1|; 1335972264695 ; afs2 ; A ; 0 ; 3 ; 2 ; 11 ; 1335972297949
2012-05-02 15:25:07.5499|INFO|FinalVersion.SurfaceWindow1|; 1335972303997 ; afs2 ; A ; 0 ; 3 ; 0 ; 0 ; 1335972307549
2012-05-02 15:25:16.9165|INFO|FinalVersion.SurfaceWindow1|; 1335972312888 ; afs2 ; A ; 0 ; 3 ; 1 ; 0 ; 1335972316916
2012-05-02 15:25:31.1713|INFO|FinalVersion.SurfaceWindow1|; 1335972322113 ; afs2 ; A ; 0 ; 3 ; 2 ; 3 ; 1335972331171
2012-05-02 15:25:47.7772|INFO|FinalVersion.SurfaceWindow1|; 1335972345367 ; afs2 ; A ; 1 ; 3 ; 1 ; 1 ; 1335972347777
2012-05-02 15:25:54.1116|INFO|FinalVersion.SurfaceWindow1|; 1335972351906 ; afs2 ; A ; 1 ; 3 ; 0 ; 1 ; 1335972354111
2012-05-02 15:26:03.1741|INFO|FinalVersion.SurfaceWindow1|; 1335972357461 ; afs2 ; A ; 1 ; 3 ; 2 ; 2 ; 1335972363174
2012-05-02 15:26:10.7566|INFO|FinalVersion.SurfaceWindow1|; 1335972368037 ; afs2 ; A ; 1 ; 3 ; 1 ; 1 ; 1335972370756
2012-05-02 15:26:16.5449|INFO|FinalVersion.SurfaceWindow1|; 1335972374276 ; afs2 ; A ; 1 ; 3 ; 0 ; 1 ; 1335972376544
2012-05-02 15:26:32.3918|INFO|FinalVersion.SurfaceWindow1|; 1335972382401 ; afs2 ; A ; 1 ; 3 ; 2 ; 3 ; 1335972392391
2012-05-02 15:26:38.4501|INFO|FinalVersion.SurfaceWindow1|; 1335972395912 ; afs2 ; A ; 1 ; 3 ; 1 ; 1 ; 1335972398450
2012-05-02 15:26:43.3884|INFO|FinalVersion.SurfaceWindow1|; 1335972401834 ; afs2 ; A ; 1 ; 3 ; 0 ; 1 ; 1335972403388
2012-05-02 15:26:50.0748|INFO|FinalVersion.SurfaceWindow1|; 1335972406788 ; afs2 ; A ; 1 ; 3 ; 2 ; 1 ; 1335972410074
2012-05-02 15:28:01.2639|INFO|FinalVersion.SurfaceWindow1|; 1335972444288 ; afs2 ; A ; 2 ; 3 ; 1 ; 0 ; 1335972481263
2012-05-02 15:28:26.9784|INFO|FinalVersion.SurfaceWindow1|; 1335972487994 ; afs2 ; A ; 2 ; 3 ; 0 ; 0 ; 1335972506978
2012-05-02 15:29:17.2892|INFO|FinalVersion.SurfaceWindow1|; 1335972513350 ; afs2 ; A ; 2 ; 3 ; 2 ; 0 ; 1335972557289
2012-05-02 15:30:34.2086|INFO|FinalVersion.SurfaceWindow1|; 1335972619731 ; afs2 ; A ; 0 ; 2 ; 0 ; 4 ; 1335972634208
2012-05-02 15:30:39.3639|INFO|FinalVersion.SurfaceWindow1|; 1335972637479 ; afs2 ; A ; 0 ; 2 ; 1 ; 0 ; 1335972639363
2012-05-02 15:31:19.1242|INFO|FinalVersion.SurfaceWindow1|; 1335972641884 ; afs2 ; A ; 0 ; 2 ; 2 ; 5 ; 1335972679124
2012-05-02 15:31:24.2635|INFO|FinalVersion.SurfaceWindow1|; 1335972681519 ; afs2 ; A ; 0 ; 2 ; 0 ; 0 ; 1335972684263
2012-05-02 15:31:29.1888|INFO|FinalVersion.SurfaceWindow1|; 1335972686593 ; afs2 ; A ; 0 ; 2 ; 1 ; 1 ; 1335972689188
2012-05-02 15:31:34.1481|INFO|FinalVersion.SurfaceWindow1|; 1335972691544 ; afs2 ; A ; 0 ; 2 ; 2 ; 1 ; 1335972694148
2012-05-02 15:31:39.0663|INFO|FinalVersion.SurfaceWindow1|; 1335972696520 ; afs2 ; A ; 0 ; 2 ; 1 ; 0 ; 1335972699066
2012-05-02 15:31:43.3206|INFO|FinalVersion.SurfaceWindow1|; 1335972701269 ; afs2 ; A ; 0 ; 2 ; 0 ; 0 ; 1335972703320
2012-05-02 15:31:48.0459|INFO|FinalVersion.SurfaceWindow1|; 1335972705940 ; afs2 ; A ; 0 ; 2 ; 2 ; 0 ; 1335972708045
2012-05-02 15:32:15.8264|INFO|FinalVersion.SurfaceWindow1|; 1335972723255 ; afs2 ; A ; 1 ; 2 ; 1 ; 5 ; 1335972735826
